Breakpoint 1 at 0x411854
Starting program: /challenge/integration-cimg-screenshot-win < exploit.cimg

Breakpoint 1, 0x0000000000411854 in handle_1337 ()
Dump of assembler code for function win:
   0x0000000000401576 <+0>:	endbr64
   0x000000000040157a <+4>:	push   rbp
   0x000000000040157b <+5>:	xor    esi,esi
   0x000000000040157d <+7>:	xor    eax,eax
   0x000000000040157f <+9>:	lea    rdi,[rip+0x10a7e]        # 0x412004
   0x0000000000401586 <+16>:	sub    rsp,0x100
   0x000000000040158d <+23>:	call   0x401250 <open@plt>
   0x0000000000401592 <+28>:	test   eax,eax
   0x0000000000401594 <+30>:	jns    0x4015e1 <win+107>
   0x0000000000401596 <+32>:	call   0x401180 <__errno_location@plt>
   0x000000000040159b <+37>:	mov    edi,DWORD PTR [rax]
   0x000000000040159d <+39>:	call   0x401280 <strerror@plt>
   0x00000000004015a2 <+44>:	lea    rsi,[rip+0x10a61]        # 0x41200a
   0x00000000004015a9 <+51>:	mov    edi,0x1
   0x00000000004015ae <+56>:	mov    rdx,rax
   0x00000000004015b1 <+59>:	xor    eax,eax
   0x00000000004015b3 <+61>:	call   0x401230 <__printf_chk@plt>
   0x00000000004015b8 <+66>:	call   0x4011e0 <geteuid@plt>
   0x00000000004015bd <+71>:	test   eax,eax
   0x00000000004015bf <+73>:	je     0x4015d9 <win+99>
   0x00000000004015c1 <+75>:	lea    rdi,[rip+0x10a6c]        # 0x412034
   0x00000000004015c8 <+82>:	call   0x401190 <puts@plt>
   0x00000000004015cd <+87>:	lea    rdi,[rip+0x10a83]        # 0x412057
   0x00000000004015d4 <+94>:	call   0x401190 <puts@plt>
   0x00000000004015d9 <+99>:	or     edi,0xffffffff
   0x00000000004015dc <+102>:	call   0x401260 <exit@plt>
   0x00000000004015e1 <+107>:	mov    rbp,rsp
   0x00000000004015e4 <+110>:	mov    edi,eax
   0x00000000004015e6 <+112>:	mov    edx,0x100
   0x00000000004015eb <+117>:	mov    rsi,rbp
   0x00000000004015ee <+120>:	call   0x401200 <read@plt>
   0x00000000004015f3 <+125>:	test   eax,eax
   0x00000000004015f5 <+127>:	jg     0x401621 <win+171>
   0x00000000004015f7 <+129>:	call   0x401180 <__errno_location@plt>
   0x00000000004015fc <+134>:	mov    edi,DWORD PTR [rax]
